Receptor,AUC-ROC(Extra trees) mean,AUC-ROC(Extra trees) stdev,AUC-ROC(SVM) mean,AUC-ROC(SVM) stdev,AUC-ROC(Z-score) mean,AUC-ROC(Z-score) stdev,BEDROC(Extra trees) mean,BEDROC(Extra trees) stdev,BEDROC (SVM) mean,BEDROC (SVM) stdev,BEDROC (Z-score) mean,BEDROC (Z-score) stdev
1ACB_r_u,0.967,0.055,0.871,0.207,0.862,0.186,0.737,0.349,0.456,0.378,0.579,0.408
1BKD_r_u,0.883,0.11,0.782,0.306,0.583,0.301,0.386,0.421,0.474,0.451,0.022,0.031
1CGI_r_u,0.91,0.121,0.859,0.195,0.685,0.188,0.611,0.422,0.524,0.439,0.075,0.161
1GL1_r_u,0.859,0.203,0.701,0.316,0.662,0.131,0.59,0.42,0.437,0.425,0.038,0.142
1HE8_r_u,0.697,0.331,0.536,0.259,0.122,0.122,0.219,0.322,0.035,0.093,0,0
1LFD_r_u,0.72,0.16,0.821,0.2,0.447,0.323,0.285,0.371,0.276,0.35,0.177,0.369
1N8O_r_u,0.715,0.28,0.592,0.278,0.541,0.314,0.334,0.339,0.394,0.41,0.126,0.26
1OYV_r_u,0.64,0.374,0.798,0.315,0.7,0.262,0.417,0.481,0.528,0.467,0.334,0.437
1WQ1_r_u,0.552,0.342,0.659,0.378,0.731,0.275,0.242,0.394,0.401,0.461,0.168,0.238
2OOB_r_u,0.977,0.035,0.927,0.225,0.43,0.217,0.745,0.336,0.761,0.347,0.004,0.01
2UUY_r_u,0.729,0.286,0.729,0.239,0.463,0.267,0.17,0.279,0.195,0.271,0.014,0.033
